iter	Passed	Remaining
0	2	2274
1	4	2106
2	6	2042
3	8	2176
4	10	2136
5	12	2083
6	14	2045
7	16	2029
8	18	2022
9	20	2025
10	22	2044
11	24	2041
12	26	2031
13	28	2037
14	30	2026
15	32	2012
16	34	2012
17	36	2000
18	38	2001
19	40	1996
20	42	1984
21	44	1984
22	46	1988
23	48	1985
24	50	1987
25	52	1981
26	54	1979
27	57	1978
28	59	1976
29	61	1972
30	63	1972
31	65	1970
32	67	1964
33	69	1961
34	71	1958
35	73	1958
36	75	1958
37	77	1955
38	79	1953
39	81	1948
40	83	1944
41	85	1943
42	87	1941
43	89	1938
44	91	1934
45	93	1930
46	95	1935
47	97	1931
48	99	1928
49	101	1924
50	103	1920
51	105	1919
52	107	1914
53	109	1911
54	111	1908
55	112	1903
56	114	1899
57	116	1894
58	118	1893
59	120	1893
60	122	1891
61	124	1887
62	126	1884
63	128	1879
64	130	1876
65	132	1874
66	134	1870
67	136	1868
68	138	1871
69	140	1868
70	142	1865
71	144	1862
72	146	1859
73	148	1858
74	150	1854
75	152	1853
76	154	1851
77	156	1848
78	158	1845
79	160	1841
80	162	1838
81	164	1836
82	165	1833
83	168	1833
84	170	1830
85	171	1827
86	173	1824
87	175	1822
88	177	1820
89	179	1818
90	181	1814
91	183	1812
92	186	1816
93	188	1815
94	190	1811
95	191	1807
96	194	1806
97	196	1805
98	198	1803
99	200	1801
100	202	1798
101	204	1797
102	206	1795
103	208	1793
104	210	1794
105	212	1791
106	214	1788
107	216	1786
108	218	1784
109	220	1783
110	222	1780
111	224	1779
112	226	1777
113	228	1774
114	230	1771
115	232	1771
116	234	1768
117	236	1765
118	237	1761
119	239	1758
120	241	1757
121	243	1755
122	245	1753
123	247	1750
124	249	1749
125	252	1748
126	253	1744
127	255	1741
128	257	1740
129	260	1741
130	262	1739
131	264	1737
132	266	1735
133	268	1735
134	270	1732
135	272	1729
136	274	1726
137	276	1724
138	277	1721
139	279	1718
140	281	1716
141	283	1714
142	285	1711
143	287	1709
144	290	1710
145	292	1708
146	293	1705
147	296	1704
148	298	1702
149	299	1699
150	301	1696
